,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
1529,HBT,"HBT Financial, Inc.",14.7,$403.62M,2019.0,Finance,Major Banks,https://old.nasdaq.com/symbol/hbt
1530,HDS,"HD Supply Holdings, Inc.",36.19,$5.86B,2013.0,Consumer Services,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/hds
1531,HHR,HeadHunter Group PLC,22.95,$1.15B,2019.0,Technology,Professional Services,https://old.nasdaq.com/symbol/hhr
1532,HCAT,"Health Catalyst, Inc",28.82,$1.1B,2019.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/hcat
1533,HCCO,Healthcare Merger Corp.,9.9,$316.31M,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/hcco
1534,HCCOU,Healthcare Merger Corp.,10.4,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/hccou
1535,HCCOW,Healthcare Merger Corp.,0.8499,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/hccow
1536,HCSG,"Healthcare Services Group, Inc.",25.0,$1.86B,1983.0,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/hcsg
1537,HTIA,"Healthcare Trust, Inc.",22.0,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/htia
1538,HQY,"HealthEquity, Inc.",65.81,$4.7B,2014.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/hqy
1539,HSTM,"HealthStream, Inc.",23.47,$750.98M,2000.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/hstm
1540,HTLD,"Heartland Express, Inc.",21.425,$1.74B,1986.0,Transportation,Trucking Freight/Courier Services,https://old.nasdaq.com/symbol/htld
1541,HTLF,"Heartland Financial USA, Inc.",36.75,$1.35B,,Finance,Major Banks,https://old.nasdaq.com/symbol/htlf
1542,HTBX,"Heat Biologics, Inc.",0.8679,$73.48M,2013.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/htbx
1543,HEBT,"Hebron Technology Co., Ltd.",13.67,$222.41M,2016.0,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/hebt
1544,HSII,"Heidrick & Struggles International, Inc.",24.07,$463.95M,1999.0,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/hsii
1545,HELE,Helen of Troy Limited,182.29,$4.6B,,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/hele
1546,HLIO,"Helios Technologies, Inc.",40.47,$1.3B,,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/hlio
1547,HSDT,"Helius Medical Technologies, Inc.",0.5338,$22.22M,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/hsdt
1548,HMTV,"Hemisphere Media Group, Inc.",10.43,$415.59M,,Consumer Services,Television Services,https://old.nasdaq.com/symbol/hmtv
